face_1,face_2,face_3,house_1,house_2,house_3,tool_1,tool_2,tool_3
0.0,0.0,0.2227121,0.0,0.8408419,0.0,1.6810248,1.1654749,2.2528439
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14935268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.7473112,1.0918745,0.89309937
0.0,0.0,0.0,0.0,0.0,0.0,0.02690304,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.5527997,2.4841878,0.0,0.0,0.0,0.0
0.0,0.78061944,0.74629515,0.43100217,0.0,0.0,0.0,0.3301363,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17000943,0.49759752,1.1272062,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8653506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.47252396,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.17599668,0.40081534,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1493711,0.0,0.42205673,0.4263606,1.0434148,1.7800899,0.0,0.0,0.0
2.5807526,0.0,0.0,1.9060692,1.9399313,2.8464677,0.0,0.0,0.0
0.0,0.0,0.26301217,0.0,0.0,0.0,1.1566447,1.4794234,2.9927087
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41564354,0.25280938
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91871536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0034768954,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7756672,1.3260844,2.2282834,1.3483083,0.99309754,1.6073568
0.0,0.0,0.0,0.0,0.0,0.0,0.78220737,0.0,0.0
0.0,0.058950685,0.047309496,0.33958495,0.6629358,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.62167335,1.8478612,0.0,0.7626279
1.5970737,3.8937964,3.319151,0.0,0.0,0.0,1.4465301,1.8622396,1.6425735
0.0,0.0,0.0,0.0,0.0,0.85774034,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0629406,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.037,0.0,0.0,0.0,0.0,0.6808712,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0175424,0.0,1.1494992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.17348255,0.0,0.0,0.0,0.0,0.0
0.12279631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.45142052,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.319139,0.22843775,0.8266682,0.80246025,0.8972697
0.0,0.0127462,0.0,0.0,0.11045556,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3702792,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.1690396,0.0,0.0,0.0,0.0,0.0,0.20953679
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19150758,0.0,1.3620371,0.0,0.18502323,0.0,1.4534538,0.0,1.3547888
0.0,0.0,0.0,1.6886282,2.2453597,1.3991083,0.0,0.49737114,0.0
1.2154963,0.0,0.0,0.6877829,0.0073869303,0.12347868,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.3221867,0.0061030015,0.0,0.0,0.0,0.0
0.6130406,0.0,0.0,2.0370185,1.4156569,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2136155,0.0,0.0,0.04616818,0.6222917,0.0
0.0,0.8655047,0.0,0.0,0.6320582,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0141636,0.0,0.0,0.0,0.9346275,0.8087669
0.0,1.0911816,0.0,1.8077847,1.5210276,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.32842714,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.250757,0.5664059,0.0,0.0,0.0
0.0,1.1720028,0.0299562,0.0,0.0,0.0,0.0,2.2267752,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40210593,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.90677243,0.0,0.9156979
0.0,0.0,0.0,0.0,0.0,0.0,0.9138309,0.0,0.4721612
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.106807,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0016290694,0.2611841,0.0,0.0,0.0,1.5228039,0.0,2.4513178
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3974904,0.0,0.0,0.0,0.0,0.08603218,0.0,0.0,0.0
0.0,1.3033184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.70838314,0.6617945,0.07785848,0.42093307,0.0,0.0,0.0,0.37491173,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82336307,0.0
0.0,0.0,0.0,0.5803992,1.364679,0.4937827,0.0,0.0,0.0
0.0,0.1543417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34278136,0.0,0.0,0.0,0.43300506,1.5989854,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.06769721,0.0,0.0,0.4374389,2.0816357,0.8614346
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0998837,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.10445213,0.5874796,0.06437136,0.0
0.5111525,1.5362109,0.8988765,0.4343907,0.0,0.49153984,0.0,0.31823075,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.42483976,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.6742538,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.013824508,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.29585263,1.1684443,0.0,0.6147565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.29810897,0.0,1.0273861
0.0,0.0,0.0,0.0,0.0,0.0,1.9107372,1.191807,2.095188
0.0,0.0,0.0,0.4951348,0.6695716,3.1339438,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2745726,0.0,0.0,0.0,0.82946295,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.001770895,0.26624462,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.17877422,0.0,0.13807337,0.48548123,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023140091,0.0,0.0,0.0,0.0,0.12898146,1.2461413,2.0303674,2.4278958
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.28582007,0.37705123,0.43433857
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09640317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.19156742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.48636377,0.33943114,0.0,0.0,0.7203663,0.0
0.81302017,2.0891669,1.8607025,0.39750922,0.0,0.0,2.1944788,0.87944865,3.0626771
0.0,0.0,0.0,0.0,0.0,0.0,0.2009302,1.5227995,0.0
1.0263631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1488118,1.0888977,0.95324844,0.0,0.0,0.0,0.0,0.0,0.0
0.9216775,0.0,2.3870912,0.0,0.407602,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7814353,0.0,0.0,0.0,1.1164213,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.58527577,0.0,0.16882594
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.78980154,0.03493184,0.45445544,0.0,0.0,0.0
0.11557501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.9583828,0.36203724,1.1805439
1.3053873,0.0,0.24881053,0.0,0.0,0.0,0.0,0.6082791,0.0
0.0,0.4591947,0.0,1.2279093,0.77557504,0.38963932,2.2317083,0.88980246,1.1221464
0.0,0.0,0.0,0.3508403,0.116611496,0.0,0.0,0.0,0.0
0.0,0.69878876,0.3468924,0.0,0.0,0.22061704,0.0,0.4095856,0.84450704
0.0,0.37756124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5352531,1.2597401,1.9969449,0.0,0.0,0.27386805,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.23258671,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51483876
0.0,0.03489058,0.0,0.0,0.0,0.0,0.0,0.525458,0.0
0.0,0.0,0.0,0.19146115,0.0,0.0,0.5681448,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.1814574,0.5722276,1.3337085
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.8563286,1.8843372,1.3559992
0.22279248,1.4593624,0.6833939,0.0,0.96824324,0.4739819,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
